# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	1954412	2042	-					parC	66584899	MC195_RS00005	2238		old_locus_tag=MC195_00005
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	1954412	2042	-	WP_003658691.1	WP_003658691.1		DNA topoisomerase IV subunit A	parC	66584899	MC195_RS00005	2238	745	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	2176	2460	-						66584900	MC195_RS00010	285		old_locus_tag=MC195_00010
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	2176	2460	-	WP_081569686.1	WP_081569686.1		4a-hydroxytetrahydrobiopterin dehydratase		66584900	MC195_RS00010	285	94	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	2949	4907	+						66584901	MC195_RS00015	1959		old_locus_tag=MC195_00015
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	2949	4907	+	WP_081569687.1	WP_081569687.1		DUF4407 domain-containing protein		66584901	MC195_RS00015	1959	652	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	4950	5873	+						66584902	MC195_RS00020	924		old_locus_tag=MC195_00020
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	4950	5873	+	WP_228704678.1	WP_228704678.1		MotA/TolQ/ExbB proton channel family protein		66584902	MC195_RS00020	924	307	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	5852	6346	+						68760101	MC195_RS09805	495		
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	5852	6346	+	WP_228704679.1	WP_228704679.1		hypothetical protein		68760101	MC195_RS09805	495	164	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	6445	7059	+						66584903	MC195_RS00025	615		old_locus_tag=MC195_00025
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	6445	7059	+	WP_081569688.1	WP_081569688.1		OmpA family protein		66584903	MC195_RS00025	615	204	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	7046	7897	+						66584904	MC195_RS00030	852		old_locus_tag=MC195_00030
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	7046	7897	+	WP_003657094.1	WP_003657094.1		HNH endonuclease		66584904	MC195_RS00030	852	283	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	8027	9553	-						66584905	MC195_RS00035	1527		old_locus_tag=MC195_00035
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	8027	9553	-	WP_003663891.1	WP_003663891.1		PepSY domain-containing protein		66584905	MC195_RS00035	1527	508	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	9659	10132	-						66584906	MC195_RS00040	474		old_locus_tag=MC195_00040
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	9659	10132	-	WP_003657091.1	WP_003657091.1		hypothetical protein		66584906	MC195_RS00040	474	157	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	10465	10725	-						66584907	MC195_RS00050	261		old_locus_tag=MC195_00050
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	10465	10725	-	WP_003657089.1	WP_003657089.1		GNAT family N-acetyltransferase		66584907	MC195_RS00050	261	86	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	10799	11119	-						66584908	MC195_RS00055	321		old_locus_tag=MC195_00055
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	10799	11119	-	WP_003672044.1	WP_003672044.1		hypothetical protein		66584908	MC195_RS00055	321	106	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	11508	13169	+					ettA	66584909	MC195_RS00060	1662		old_locus_tag=MC195_00060
CDS	with_protein	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	11508	13169	+	WP_003658683.1	WP_003658683.1		energy-dependent translational throttle protein EttA	ettA	66584909	MC195_RS00060	1662	553	
gene	protein_coding	GCF_002080125.1	Primary Assembly	chromosome		NZ_CP018059.1	13584	14393	+						66584910	MC195_RS00065	810		old_locus_tag=MC195_00065
