# ANI ranges report for assembly: GCA_002080125.1
# Submitted organism: Moraxella catarrhalis (taxid = 480, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Moraxella)
# Submitted Organism Has Type Assembly: Yes
# Best match: Moraxella catarrhalis (taxid = 480, rank = species, lineage = Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Moraxella)
# Status: CONFIRMED
# Confidence: HIGH
# Recommended actions legend:
#     - (dash) - No action, query nucleotide is not contaminated
#     S        - query nucleotide range is contaminated from within the same genus and could be considered for trimming, but it is still a valid component of assembly after trimming
#     T        - query nucleotide range is contaminated and needs to be trimmed, but it is still a valid component of assembly after trimming
#recommended_action	input_sequence_identifier	input_sequence_type	sequence_start	sequence_stop	sequence_length	typestrain_sequence	typestrain_sequence_start	typestrain_sequence_stop	typestrain_assembly_accession	typestrain_organism	ANI_this_region	ANI_threshold	%_query_coverage
-	CP018059.1	CIRCULAR	1	35460	1954607	LS483445.1	1656703	1692230	GCA_900476075.1	Moraxella catarrhalis	99.2569	96	1.81418
-	CP018059.1	CIRCULAR	35461	70400	1954607	LS483445.1	1612769	1647706	GCA_900476075.1	Moraxella catarrhalis	99.2569	96	1.78757
S	CP018059.1	CIRCULAR	70401	71471	1954607	MUYV01000012.1	11640	12689	GCA_002014855.1	Moraxella porci	92.8105	96	0.0547936
-	CP018059.1	CIRCULAR	71472	221184	1954607	LS483445.1	1462946	1612684	GCA_900476075.1	Moraxella catarrhalis	99.4492	96	7.65949
S	CP018059.1	CIRCULAR	221185	221311	1954607	CP065728.1	1174343	1174468	GCA_016028775.1	Moraxella nonliquefaciens	80.4688	96	0.00649747
-	CP018059.1	CIRCULAR	223459	224209	1954607	LS483445.1	826882	827639	GCA_900476075.1	Moraxella catarrhalis	85.7708	96	0.038422
S	CP018059.1	CIRCULAR	235895	236694	1954607	UGQF01000001.1	1076429	1077228	GCA_900453335.1	Moraxella equi	87.4222	96	0.0409289
S	CP018059.1	CIRCULAR	240570	242605	1954607	CP065728.1	1046661	1048650	GCA_016028775.1	Moraxella nonliquefaciens	81.5623	96	0.104164
S	CP018059.1	CIRCULAR	242606	243780	1954607	MUXT01000001.1	234835	236009	GCA_002014965.1	Moraxella canis	92.4448	96	0.0601144
-	CP018059.1	CIRCULAR	246014	247713	1954607	LS483445.1	1014249	1015947	GCA_900476075.1	Moraxella catarrhalis	96.2963	96	0.086974
